"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/13/2019 15:30:18:673 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","House_Price_Cutoff","[step]","OBJECTIVE"
"177","750000","390000","101","7.389532159339983E9"
"178","760000","390000","101","7.481213896798438E9"
"179","770000","390000","101","7.571558099449145E9"
"180","780000","390000","101","7.662966593100157E9"
"181","790000","390000","101","7.75442722259788E9"
"182","800000","390000","101","7.847297152900326E9"
"183","810000","390000","101","7.938704279356426E9"
"184","820000","390000","101","8.031946567662455E9"
"185","830000","390000","101","8.12469316751422E9"
"186","840000","390000","101","8.218515377331648E9"
"187","850000","390000","101","8.312115606969848E9"
"188","860000","390000","101","8.405766643162638E9"
"189","870000","390000","101","8.500805709894089E9"
"190","880000","390000","101","8.594923125643076E9"
"191","890000","390000","101","8.689537064463032E9"
"192","900000","390000","101","8.784811281183645E9"
"193","910000","390000","101","8.879652458687523E9"
"194","920000","390000","101","8.974716100612745E9"
"195","930000","390000","101","9.071141490550743E9"
"196","940000","390000","101","9.167526934635063E9"
"197","950000","390000","101","9.263197241063028E9"
"198","960000","390000","101","9.359263925834064E9"
"199","970000","390000","101","9.456158655638384E9"
"200","980000","390000","101","9.552278444776138E9"
"201","990000","390000","101","9.650143150697634E9"
"202","1000000","390000","101","9.747736378532274E9"
"203","0","391000","101","2.5954595292599783E9"
"204","10000","391000","101","2.6345978414245834E9"
"205","20000","391000","101","2.6733519210972733E9"
"206","30000","391000","101","2.7094582368901653E9"
"207","40000","391000","101","2.7431944964768324E9"
"208","50000","391000","101","2.7726101632814126E9"
"209","60000","391000","101","2.805542256046845E9"
"210","70000","391000","101","2.8355462593173947E9"
"211","80000","391000","101","2.86659596781351E9"
"212","90000","391000","101","2.8975714358734655E9"
"213","100000","391000","101","2.9347171530274935E9"
"214","110000","391000","101","2.971741848287135E9"
"215","120000","391000","101","3.0080862935801883E9"
"216","130000","391000","101","3.0496928451139317E9"
"217","140000","391000","101","3.091130686275261E9"
"218","150000","391000","101","3.131792761487224E9"
"219","160000","391000","101","3.172091249202971E9"
"220","170000","391000","101","3.2150255061611304E9"
"221","180000","391000","101","3.2591765098059688E9"
"222","190000","391000","101","3.3059902498476663E9"
"223","200000","391000","101","3.3519231674783883E9"
"224","210000","391000","101","3.3999457989618783E9"
"225","220000","391000","101","3.453032490238011E9"
"226","230000","391000","101","3.5073939105702343E9"
"227","240000","391000","101","3.5615579045782614E9"
"228","250000","391000","101","3.612957009387272E9"
"229","260000","391000","101","3.6631907112274537E9"
"230","270000","391000","101","3.717261479192576E9"
"231","280000","391000","101","3.7751844026375575E9"
"232","290000","391000","101","3.83123500618846E9"
"233","300000","391000","101","3.8897514699346843E9"
"234","310000","391000","101","3.9500344476171503E9"
"235","320000","391000","101","4.0101242633637633E9"
"236","330000","391000","101","4.071329815590255E9"
"237","340000","391000","101","4.132841596220105E9"
"238","350000","391000","101","4.1971947063089075E9"
"239","360000","391000","101","4.2606078254270315E9"
"240","370000","391000","101","4.327291366817985E9"
"241","380000","391000","101","4.394402899694415E9"
"242","390000","391000","101","4.462597963399981E9"
"243","400000","391000","101","4.532070100105796E9"
"244","410000","391000","101","4.602096113268929E9"
"245","420000","391000","101","4.672983569791338E9"
"246","430000","391000","101","4.744780222489367E9"
"247","440000","391000","101","4.816037774880877E9"
"248","450000","391000","101","4.889158439998321E9"
"249","460000","391000","101","4.963175384120245E9"
"250","470000","391000","101","5.039414430877915E9"
"251","480000","391000","101","5.114057983628716E9"
"252","490000","391000","101","5.189445481913677E9"
"253","500000","391000","101","5.266495913609934E9"
"254","510000","391000","101","5.344641579715937E9"
"255","520000","391000","101","5.424654418257136E9"
"256","530000","391000","101","5.504906681618187E9"
"257","540000","391000","101","5.58432398268153E9"
"258","550000","391000","101","5.665289016261916E9"
"259","560000","391000","101","5.747969454423576E9"
"260","570000","391000","101","5.829931995886323E9"
"261","580000","391000","101","5.912749026989696E9"
"262","590000","391000","101","5.998188292221066E9"
"263","600000","391000","101","6.080596227358645E9"
"264","610000","391000","101","6.166093544905445E9"
"265","620000","391000","101","6.2512025747645855E9"
"266","630000","391000","101","6.335589132705601E9"
"267","640000","391000","101","6.421646884884946E9"
"268","650000","391000","101","6.507727786502784E9"
"269","660000","391000","101","6.595588003750937E9"
"270","670000","391000","101","6.681314218161596E9"
"271","680000","391000","101","6.769343196787955E9"
"272","690000","391000","101","6.857947645398052E9"
"273","700000","391000","101","6.945966817567795E9"
"274","710000","391000","101","7.033924928943076E9"
"275","720000","391000","101","7.122298050940719E9"
"276","730000","391000","101","7.212230908618179E9"
"277","740000","391000","101","7.302699605412221E9"
"278","750000","391000","101","7.392279914050234E9"
"279","760000","391000","101","7.48392056572324E9"
"280","770000","391000","101","7.574242503725676E9"
"281","780000","391000","101","7.665477158606272E9"
"282","790000","391000","101","7.75691501347462E9"
