"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/13/2019 15:01:03:857 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Normal_dis","[step]","OBJECTIVE"
"84","830000","0.09","101","8.12313975616732E9"
"85","840000","0.09","101","8.216978760525378E9"
"86","850000","0.09","101","8.310696453915115E9"
"87","860000","0.09","101","8.404363898812755E9"
"88","870000","0.09","101","8.49947205169866E9"
"89","880000","0.09","101","8.593663994181913E9"
"90","890000","0.09","101","8.688310086743624E9"
"92","910000","0.09","101","8.878548319780935E9"
"91","900000","0.09","101","8.783601658856514E9"
"93","920000","0.09","101","8.973672121984854E9"
"94","930000","0.09","101","9.070114281416325E9"
"95","940000","0.09","101","9.166516494994123E9"
"96","950000","0.09","101","9.262393784886059E9"
"97","960000","0.09","101","9.358530161403578E9"
"98","970000","0.09","101","9.455440690737812E9"
"99","980000","0.09","101","9.551576279405529E9"
"100","990000","0.09","101","9.649494530175714E9"
"101","1000000","0.09","101","9.747202805325672E9"
"102","0","0.1","101","2.8563431507781854E9"
"103","10000","0.1","101","2.8899552902534966E9"
"104","20000","0.1","101","2.928190922360468E9"
"105","30000","0.1","101","2.96097114118414E9"
"106","40000","0.1","101","2.9926931262428875E9"
"107","50000","0.1","101","3.0176408752314305E9"
"108","60000","0.1","101","3.0478298675339146E9"
"109","70000","0.1","101","3.0732158129300985E9"
"110","80000","0.1","101","3.101661679620441E9"
"111","90000","0.1","101","3.127323990209885E9"
"112","100000","0.1","101","3.160302021930256E9"
"113","110000","0.1","101","3.189068489573817E9"
"114","120000","0.1","101","3.22478607891452E9"
"115","130000","0.1","101","3.263619389556113E9"
"116","140000","0.1","101","3.3009612979187684E9"
"117","150000","0.1","101","3.340890126092125E9"
"118","160000","0.1","101","3.3774542927280984E9"
"119","170000","0.1","101","3.4199520251085315E9"
"120","180000","0.1","101","3.460427378425933E9"
"121","190000","0.1","101","3.504763758708542E9"
"122","200000","0.1","101","3.5504758708261876E9"
"123","210000","0.1","101","3.596734258821812E9"
"124","220000","0.1","101","3.6455101620944786E9"
"125","230000","0.1","101","3.697180414040924E9"
"126","240000","0.1","101","3.7501630733655577E9"
"127","250000","0.1","101","3.7988491506487055E9"
"128","260000","0.1","101","3.8483633436751575E9"
"129","270000","0.1","101","3.898130216069562E9"
"131","290000","0.1","101","4.0093819125656223E9"
"130","280000","0.1","101","3.9552101639552026E9"
"132","300000","0.1","101","4.0647516752225747E9"
"133","310000","0.1","101","4.121641456133302E9"
"134","320000","0.1","101","4.1775798286895533E9"
"135","330000","0.1","101","4.2373127898019547E9"
"136","340000","0.1","101","4.296514260395238E9"
"137","350000","0.1","101","4.355351244661441E9"
"139","370000","0.1","101","4.480153508295646E9"
"138","360000","0.1","101","4.418378633861848E9"
"140","380000","0.1","101","4.545045092725156E9"
"141","390000","0.1","101","4.609458537605447E9"
"142","400000","0.1","101","4.67690844990466E9"
"143","410000","0.1","101","4.743816786904292E9"
"144","420000","0.1","101","4.8108197905237E9"
"145","430000","0.1","101","4.880947191168561E9"
"146","440000","0.1","101","4.951147741976153E9"
"147","450000","0.1","101","5.021995917555665E9"
"148","460000","0.1","101","5.093599496096719E9"
"149","470000","0.1","101","5.167508882156766E9"
"150","480000","0.1","101","5.240681387744462E9"
"151","490000","0.1","101","5.315129175431797E9"
"152","500000","0.1","101","5.3898727597241335E9"
"153","510000","0.1","101","5.467078734031637E9"
"154","520000","0.1","101","5.544451902860763E9"
"155","530000","0.1","101","5.623467287199637E9"
"156","540000","0.1","101","5.7001620968490305E9"
"157","550000","0.1","101","5.781074412848926E9"
"158","560000","0.1","101","5.860031093860062E9"
"159","570000","0.1","101","5.940266966851701E9"
"160","580000","0.1","101","6.021458501682956E9"
"161","590000","0.1","101","6.102703657594655E9"
"162","600000","0.1","101","6.183775124623993E9"
