"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/markzhou/Documents/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/19/2019 14:22:31:478 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"205","60000","5.8","101","3.9002512412734365E8"
"206","70000","5.8","101","3.907025715070496E8"
"207","80000","5.8","101","3.8888134147251135E8"
"209","100000","5.8","101","3.8484516342671776E8"
"208","90000","5.8","101","3.8802734446539754E8"
"210","0","5.9","101","4.247275723471115E8"
"211","10000","5.9","101","4.2239759963133734E8"
"212","20000","5.9","101","4.222419909584981E8"
"213","30000","5.9","101","4.1979439496166205E8"
"214","40000","5.9","101","4.169025917543187E8"
"215","50000","5.9","101","4.1602817761937433E8"
"216","60000","5.9","101","4.113984598171769E8"
"217","70000","5.9","101","4.100445914507497E8"
"218","80000","5.9","101","4.093175939591811E8"
"219","90000","5.9","101","4.0735141840624744E8"
"220","100000","5.9","101","4.0537704308492917E8"
"221","0","6","101","4.520914392676207E8"
"222","10000","6","101","4.457568490512009E8"
"223","20000","6","101","4.44952805110727E8"
"224","30000","6","101","4.432559358754908E8"
"225","40000","6","101","4.3943768796857184E8"
"227","60000","6","101","4.353433994849157E8"
"226","50000","6","101","4.3744489805406326E8"
"229","80000","6","101","4.308796409931709E8"
"228","70000","6","101","4.356571917635807E8"
"230","90000","6","101","4.2956299534142524E8"
"231","100000","6","101","4.280936817290004E8"
