"TableName","State","Total","SumOfBatchID"
"utBuilding","15","547488","2323875938318"
"utBuildingAreas","15","1541159","6631669706195"
"utCareOfName","15","57333","242681630655"
"utExteriorWall","15","436203","1880092818098"
"utExtraFeature","15","80389","336549014152"
"utGarage","15","655106","2801952793111"
"utInteriorFlooring","15","381339","1648930424368"
"utInteriorWall","15","421243","1813395382802"
"utLotSiteAppeal","15","137445","615067057757"
"utMailAddress","15","547488","2323875938318"
"utMain","15","547488","2323875938318"
"utName","15","596409","2531887938079"
"utOby","15","30424","125488420182"
"utPool","15","94912","418128631132"
"utSaleData","15","980054","4170583772502"
"utTaxExemption","15","486761","2003205324839"
"utTypeConstruction","15","15220","65080374073"
"utValue","15","547488","2323875938318"
"utVestingCodes","15","1","3920945"
"utBKManagedSpecific","16","1004220","350519229041465"
"utBuilding","16","1052682","399004996092767"
"utBuildingAreas","16","1758718","520208401833204"
"utCareOfName","16","35088","16136160851086"
"utExteriorWall","16","306284","54684557698310"
"utExtraFeature","16","214235","126559670781520"
"utGarage","16","833015","243887321960054"
"utInteriorFlooring","16","2945","22759620012"
"utInteriorWall","16","79161","57057688205778"
"utLotSiteAppeal","16","4114","3830187148859"
"utMailAddress","16","1050877","397199091050595"
"utMain","16","1050877","397199091050595"
"utName","16","1314128","465044832494252"
"utOby","16","432431","137420963235010"
"utPool","16","7999","1359913688705"
"utSaleData","16","360690","166215897075046"
"utTaxDistrict","16","284876","13396800944419"
"utTaxExemption","16","212390","115167841331985"
"utTypeConstruction","16","139819","71617124119230"
"utValue","16","1050877","397199091050595"
"utVestingCodes","16","2292","531347517210"
"utBKManagedSpecific","17","5848534","38868764254129"
"utBuilding","17","5871758","62104427118921"
"utBuildingAreas","17","5761875","24266870344867"
"utCareOfName","17","177801","8975580829892"
"utExteriorWall","17","933539","3735831135854"
"utExtraFeature","17","399753","1686634827276"
"utGarage","17","3435539","13778441847754"
"utInteriorFlooring","17","203609","842653944682"
"utInteriorWall","17","176815","745351515190"
"utLotSiteAppeal","17","59963","251182683401"
"utMailAddress","17","5871722","62104281437147"
"utMain","17","5871758","62104427118921"
"utName","17","6142919","66709611894239"
"utOby","17","257491","1023773366064"
"utPool","17","18287","73899028366"
"utSaleData","17","4578900","22680352845855"
"utTaxDistrict","17","896384","3774847564149"
"utTaxExemption","17","3397292","25930417340548"
"utTypeConstruction","17","1866578","7079988779378"
"utValue","17","5871758","62104427118921"
"utVestingCodes","17","4131","33482692834"
"utBKManagedSpecific","18","833235","3615775252382"
"utBuilding","18","3601954","2606968690535226"
"utBuildingAreas","18","7896773","5577160826737743"
"utCareOfName","18","29575","17492922004178"
"utExteriorWall","18","69866","5429685029134"
"utExtraFeature","18","2873437","2657418692487519"
"utGarage","18","2074811","1067552909858881"
"utLotSiteAppeal","18","2002","881323417087"
"utMailAddress","18","3498780","2509762833936206"
"utMain","18","3502293","2513261573908397"
"utName","18","3463273","2501682901841485"
"utOby","18","879113","448697976997247"
"utPool","18","95874","14385203995305"
"utSaleData","18","3065465","2164522394843822"
"utTaxDistrict","18","2423144","2358445080132658"
"utTaxExemption","18","1538932","1313324417957279"
"utTypeConstruction","18","1854021","1334169254478400"
"utValue","18","3502293","2513261573908397"
"utVestingCodes","18","31983","27963055872016"
"utBKManagedSpecific","19","1427039","286783356686905"
"utBuilding","19","2566987","1414832318078974"
"utBuildingAreas","19","4505875","3306919768143559"
"utCareOfName","19","132407","60532320128249"
"utExteriorWall","19","958077","598151162787058"
"utExtraFeature","19","441282","291807499537502"
"utGarage","19","1597918","1026775552527639"
"utInteriorFlooring","19","688293","103333718756767"
"utInteriorWall","19","648276","346477910573140"
"utLotSiteAppeal","19","258","257129271930"
"utMailAddress","19","2412052","1259820854948749"
"utMain","19","2474427","1322226644041907"
"utName","19","2922939","1632538319222117"
"utOby","19","798771","538686608454117"
"utPool","19","6888","3682910592661"
"utSaleData","19","2485119","1592650253741574"
"utTaxDistrict","19","1491943","1041736453781786"
"utTaxExemption","19","803267","488438179840652"
"utTypeConstruction","19","681059","387092032857649"
"utValue","19","2474427","1322226644041907"
"utVestingCodes","19","46247","26467978411717"
"utBKManagedSpecific","20","1433781","150735590082703"
"utBuilding","20","1663567","380634942367573"
"utBuildingAreas","20","4986526","1516032654741325"
"utCareOfName","20","64540","3686507527670"
"utExteriorWall","20","1088908","297404694359793"
"utExtraFeature","20","916394","213140210224136"
"utGarage","20","1685221","308265134454023"
"utInteriorFlooring","20","346867","19015606579894"
"utInteriorWall","20","407761","12176374330930"
"utLotSiteAppeal","20","110529","10598128854864"
"utMailAddress","20","1659710","376776039728758"
"utMain","20","1659710","376776039728758"
"utName","20","1853149","486722453071666"
"utOby","20","807072","81646255777973"
"utPool","20","37846","11489557380232"
"utSaleData","20","1201543","241087535475687"
"utTaxDistrict","20","1373685","370452820786163"
"utTaxExemption","20","50980","9893941305268"
"utTypeConstruction","20","881261","400035763711034"
"utValue","20","1659710","376776039728758"
"utVestingCodes","20","167752","24781873247144"
"utBKManagedSpecific","21","2363950","71314732080215"
"utBuilding","21","2363950","71314732080215"
"utBuildingAreas","21","2882386","61864637895218"
"utCareOfName","21","116675","3216912772776"
"utExteriorWall","21","1311475","32239724772700"
"utExtraFeature","21","1018227","31740096922726"
"utGarage","21","1623653","38790067856933"
"utInteriorFlooring","21","251905","5940235341996"
"utInteriorWall","21","99760","2276389277587"
"utLotSiteAppeal","21","51544","616950240101"
"utMailAddress","21","2363950","71314732080215"
"utMain","21","2363950","71314732080215"
"utName","21","2517784","72999812181901"
"utOby","21","538126","6962511913121"
"utPool","21","66151","1654112824772"
"utSaleData","21","2840902","86937404705671"
"utTaxDistrict","21","745427","5236118600558"
"utTaxExemption","21","581036","26560158554652"
"utTypeConstruction","21","698244","27345055564293"
"utValue","21","2363950","71314732080215"
"utVestingCodes","21","5508","273212171442"
"utBKManagedSpecific","22","2634566","11002925513204"
"utBuilding","22","2634566","11002925513204"
"utBuildingAreas","22","935741","3903892610551"
"utCareOfName","22","188940","775856641908"
