"TableName","State","Total","SumOfBatchID"
"utBuyerNameDescriptionCode","15","2252382","9561970335796"
"utForeclosureNameAddress","15","56191","17283849981"
"utForeclosureOriginalLoan","15","16894","6230024914"
"utLegacy","15","27578","118146869031"
"utMain","15","1828582","7503002016881"
"utPropertyInfo","15","1987792","8208523665209"
"utRegionSpecific","15","1217152","5160036077265"
"utSellerMailAddress","15","671627","2808923999661"
"utSellerName","15","2333548","9907851844857"
"utSellerNameDescriptionCode","15","2143228","9098713497136"
"utBKManagedSpecific","16","2229891","1454781229804692"
"utBorrowerMailAddress","16","1418","822253516667"
"utBorrowerName","16","1449554","878298200116770"
"utBorrowerNameDescriptionCode","16","1365033","845242406079459"
"utBuyerMailAddress","16","1423036","959053317026088"
"utBuyerName","16","2187676","1493982136784066"
"utBuyerNameDescriptionCode","16","2123492","1458486169003802"
"utForeclosureNameAddress","16","127106","42326344468868"
"utForeclosureNODNOSDoc","16","13245","6002854400629"
"utForeclosureOriginalLoan","16","79544","31733940881418"
"utLegacy","16","8122","2777830303155"
"utMain","16","2381525","1521339830855326"
"utPropertyInfo","16","2419149","1548893665337333"
"utSellerMailAddress","16","177120","111443274797229"
"utSellerName","16","2324403","1611531260497683"
"utSellerNameDescriptionCode","16","2194625","1546304440904376"
"utBKManagedSpecific","17","17739338","106408612317443"
"utBorrowerMailAddress","17","48542","965823617636"
"utBorrowerName","17","17036467","86124012603004"
"utBorrowerNameDescriptionCode","17","12014043","73181920816506"
"utBuyerMailAddress","17","8885526","55911436235672"
"utBuyerName","17","13587643","87111299112506"
"utBuyerNameDescriptionCode","17","12609967","81868378427164"
"utForeclosureNameAddress","17","1488306","736631634909"
"utForeclosureNODNOSDoc","17","248","404314697"
"utForeclosureOriginalLoan","17","1412615","676757600112"
"utLegacy","17","210564","817115512931"
"utMain","17","19244768","107356239940621"
"utPropertyInfo","17","21089034","129720761186033"
"utRegionSpecific","17","409802","133816762874"
"utSellerMailAddress","17","2741103","13935636918433"
"utSellerName","17","14492036","94916494882577"
"utSellerNameDescriptionCode","17","12207873","84659298178266"
"utBKManagedSpecific","18","6155577","4310698171809044"
"utBorrowerMailAddress","18","21162","16372772070021"
"utBorrowerName","18","4225932","3053701872762029"
"utBorrowerNameDescriptionCode","18","3794187","2749292729570725"
"utBuyerMailAddress","18","3647405","2517985407583522"
"utBuyerName","18","5234870","3596903964867296"
"utBuyerNameDescriptionCode","18","5077166","3486332391595091"
"utForeclosureNameAddress","18","167797","156575597154716"
"utForeclosureOriginalLoan","18","13094","11661789411836"
"utLegacy","18","10096","4350645806175"
"utMain","18","6367954","4511013444467696"
"utPropertyInfo","18","6926107","4844942251097302"
"utSellerMailAddress","18","431353","275893269261889"
"utSellerName","18","5613627","3856209497579313"
"utSellerNameDescriptionCode","18","4983707","3495718864605619"
"utBKManagedSpecific","19","3719482","2290722414705365"
"utBorrowerMailAddress","19","2256","852857536173"
"utBorrowerName","19","2968755","1805340429804315"
"utBorrowerNameDescriptionCode","19","2857927","1730941359460034"
"utBuyerMailAddress","19","2001538","1247667181589233"
"utBuyerName","19","3066785","1895315544415342"
"utBuyerNameDescriptionCode","19","2995237","1854168984033665"
"utForeclosureNameAddress","19","39985","28128403447917"
"utForeclosureOriginalLoan","19","4860","3237720402663"
"utLegacy","19","10042","7036590836365"
"utMain","19","3781499","2334362382484365"
"utPropertyInfo","19","3893253","2397862062448488"
"utSellerMailAddress","19","142897","96981279620898"
"utSellerName","19","3601032","2205222667697627"
"utSellerNameDescriptionCode","19","3437970","2096545496748736"
"utBKManagedSpecific","20","2203651","1385446884966501"
"utBorrowerMailAddress","20","20790","1853536337750"
"utBorrowerName","20","1484272","953112790362623"
"utBorrowerNameDescriptionCode","20","1417380","933183004269720"
"utBuyerMailAddress","20","1347154","833855366611070"
"utBuyerName","20","2140746","1339334835673469"
"utBuyerNameDescriptionCode","20","2005430","1292581787750905"
"utForeclosureNameAddress","20","29004","9130367169954"
"utForeclosureOriginalLoan","20","89","15022380999"
"utLegacy","20","13376","11616464210927"
"utMain","20","2237859","1398318923048684"
"utPropertyInfo","20","2281551","1416143271557390"
"utSellerMailAddress","20","106209","69280554518406"
"utSellerName","20","2365835","1458479635404645"
"utSellerNameDescriptionCode","20","2186981","1343786543486756"
"utBKManagedSpecific","21","3454055","983868226280491"
"utBorrowerMailAddress","21","101753","1750098010539"
"utBorrowerName","21","2804007","770933632289328"
"utBorrowerNameDescriptionCode","21","2617167","737263079881558"
"utBuyerMailAddress","21","1798986","542276587396091"
"utBuyerName","21","2699416","792929897995957"
"utBuyerNameDescriptionCode","21","2548243","761830656730801"
"utForeclosureNameAddress","21","125857","2143334785706"
"utForeclosureNODNOSDoc","21","15533","657895556125"
"utForeclosureOriginalLoan","21","22569","786322619279"
"utLegacy","21","1942","1562558090493"
"utMain","21","3610930","1009705949743810"
"utPropertyInfo","21","3686895","1034493134061553"
"utSellerMailAddress","21","1374876","429557941411685"
"utSellerName","21","3323216","994084318992340"
"utSellerNameDescriptionCode","21","3100208","907088484194500"
"utBKManagedSpecific","22","2580091","9843408845424"
"utBorrowerMailAddress","22","26469","94091917847"
"utBorrowerName","22","1823378","21594055717970"
"utBorrowerNameDescriptionCode","22","1518687","5784656040374"
"utBuyerMailAddress","22","1443359","5513674232202"
"utBuyerName","22","1950350","7450097399157"
"utBuyerNameDescriptionCode","22","1648815","6314808608882"
"utForeclosureNameAddress","22","60607","11267085780802"
"utForeclosureOriginalLoan","22","1934","18196330543"
"utLegacy","22","578","2117830765"
"utMain","22","2652045","25041182527686"
"utPropertyInfo","22","2677488","25138890196618"
"utSellerMailAddress","22","657154","2512137523515"
"utSellerName","22","2133939","8157698184545"
"utSellerNameDescriptionCode","22","1749725","6710375482672"
"utBKManagedSpecific","23","1533697","7333376529705"
"utBorrowerName","23","1274388","5990743322460"
"utBorrowerNameDescriptionCode","23","161989","771718015625"
"utBuyerMailAddress","23","772287","3692644783842"
"utBuyerName","23","1140988","5455552666636"
"utBuyerNameDescriptionCode","23","251560","1202878323408"
"utForeclosureNameAddress","23","12623","24195927819"
"utForeclosureOriginalLoan","23","11598","29553648547"
"utLegacy","23","1","4783007"
"utMain","23","1574874","7448962708742"
"utPropertyInfo","23","1583925","7492242057051"
"utSellerName","23","1109706","5306005577462"
"utSellerNameDescriptionCode","23","269390","1288130725600"
"utBKManagedSpecific","24","7609324","4975119667205597"
"utBorrowerMailAddress","24","1482","1096143092698"
"utBorrowerName","24","6237552","4069156254478181"
"utBorrowerNameDescriptionCode","24","4242849","2963591262639792"
"utBuyerMailAddress","24","4036730","2631375771225541"
"utBuyerName","24","5634380","3774006375975515"
"utBuyerNameDescriptionCode","24","4562010","3178203284538214"
"utForeclosureNameAddress","24","334527","188371783245"
"utForeclosureOriginalLoan","24","108783","18354980210"
"utLegacy","24","5700","2514688798689"
"utMain","24","8116373","5104727151539795"
"utPropertyInfo","24","10304485","5229914975407877"
"utSellerMailAddress","24","141683","88557150791402"
"utSellerName","24","4951368","3291647394971883"
"utSellerNameDescriptionCode","24","3952796","2662809757562429"
"utBKManagedSpecific","25","11955974","56365744477126"
"utBorrowerName","25","10773678","49394845176726"
"utBorrowerNameDescriptionCode","25","1459568","6858768047208"
"utBuyerMailAddress","25","4443380","20942605950650"
"utBuyerName","25","6603086","31115605039591"
"utBuyerNameDescriptionCode","25","1520354","7166753098022"
"utForeclosureNameAddress","25","187740","277487288368"
"utForeclosureOriginalLoan","25","179086","248425815659"
"utLegacy","25","50781","239895287782"
"utMain","25","12562913","56842278491883"
"utPropertyInfo","25","12645230","57228600658128"
"utRegionSpecific","25","4","128608"
"utSellerMailAddress","25","3","14379925"
"utSellerName","25","6621011","31206310199599"
"utSellerNameDescriptionCode","25","1449114","6831900090565"
"utBKManagedSpecific","26","12297183","2740314149572679"
"utBorrowerMailAddress","26","263250","29671774379972"
"utBorrowerName","26","8811355","2162932290074005"
"utBorrowerNameDescriptionCode","26","8020586","2104613157254616"
"utBuyerMailAddress","26","7386186","1509093451364691"
"utBuyerName","26","10610313","2208334781075594"
"utBuyerNameDescriptionCode","26","10036328","2095634945245993"
"utForeclosureNameAddress","26","533826","5352352319843"
"utForeclosureNODNOSDoc","26","988","463268873"
"utForeclosureOriginalLoan","26","358497","3983205754115"
"utLegacy","26","33240","10939039410920"
"utMain","26","12894051","2789506265227980"
"utPropertyInfo","26","13658523","2918829984759464"
"utRegionSpecific","26","16","16007719193"
"utSellerMailAddress","26","5205342","1038485959766706"
"utSellerName","26","11905589","2462088230949180"
"utSellerNameDescriptionCode","26","10835381","2208354246810008"
"utBKManagedSpecific","27","5179087","1544061597067514"
"utBorrowerMailAddress","27","31023","488056336452"
"utBorrowerName","27","3952563","1327372030004230"
"utBorrowerNameDescriptionCode","27","3802377","1318762363846039"
"utBuyerMailAddress","27","2923622","786185480022417"
"utBuyerName","27","4509729","1232921028361196"
"utBuyerNameDescriptionCode","27","3407263","878931883891596"
"utForeclosureNameAddress","27","128336","3483087997637"
"utForeclosureNODNOSDoc","27","66","6213631040"
"utForeclosureOriginalLoan","27","94395","2723143744567"
"utLegacy","27","6051","802977605578"
"utMain","27","5322569","1562935406941141"
"utPropertyInfo","27","5785101","1649620184068741"
"utRegionSpecific","27","15336","15343603872238"
"utSellerMailAddress","27","1293429","387710965016916"
