who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
5212,35,345,-706.7379006,253.8975287,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",690000,533000,2000,0.314,0.407,50000,50000,40.593321,-73.942218,2.9,2,"""""",42,71,2.84E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5213,85,106,-710.8883855,86.28179155,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1768000,1156000,6000,0.557,0.587,50000,50000,40.579146,-73.942569,1.2,2.5,"""""",109,138,5.93E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5214,25,345,-506.1311294,688.291301,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",440000,210000,4000,0,0,0,0,40.630057,-73.925253,5,1,"""""",0,0,2.12E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5215,45,173,-665.0083813,102.3634425,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",865000,634000,2240,0.754,0.754,50000,50000,40.580506,-73.938689,0.9,1,"""""",121,149,3.34E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5216,25,108,-77.60242992,865.4141318,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",543000,301000,3300,0.524,0.587,50000,50000,40.645036,-73.889013,1.5,2,"""""",97,126,2.42E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5217,55,80,-269.5180147,418.0604409,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1079000,725000,4283,0.407,0.524,50000,50000,40.607204,-73.905243,2.2,2,"""""",69,98,3.95E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5218,35,297,-344.2740423,596.5431172,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",694000,494000,2450,0.362,0.449,50000,50000,40.622298,-73.911565,2.7,2,"""""",50,78,2.85E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5219,35,294,-371.3527046,598.7543442,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",657000,392000,2703,0.314,0.407,50000,50000,40.622485,-73.913855,3,2,"""""",38,67,2.74E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5220,35,347,-582.2824767,682.6272489,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",603000,356000,3425,0,0,0,0,40.629578,-73.931693,6.5,2.5,"""""",0,0,2.59E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
5221,25,181,-527.2264716,696.4267244,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",535000,365000,2750,0,0,0,0,40.630745,-73.927037,5.8,2,"""""",0,0,2.39E+07,0,200,200,FALSE,0,0,FALSE,FALSE,1E+12,FALSE,0,0
