who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
334,29,32,-489.6592619,642.9788844,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",497000,322000,2000,0,0.152,0,7207,40.626225,-73.92386,4.6,2,"""""",0,4,2.72E+08,0,1,1,TRUE,{turtles 5757 4821 3329 585 994 1863 2567 1660 269 4965},0,FALSE,FALSE,-843626.1561,TRUE,0,2
335,29,45,-975.6089152,119.2610008,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",420000,272000,1703,0.532,0.632,50000,50000,40.581935,-73.964956,2.7,1,"""""",50,78,2.46E+08,0,1,1,TRUE,{turtles 5284 3317 605 4054 363 550 5151 4762 1991 2893},0,FALSE,FALSE,-907039.9402,TRUE,0,2
336,79,46,-237.0709189,417.729348,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1489000,1094000,4800,0.557,0.587,50000,50000,40.607176,-73.902499,1.1,2,"""""",113,141,6.11E+08,0,1,1,TRUE,{turtles 2363 2252 4365 1984 1677 4464 882 2380 4745 3340},0,FALSE,FALSE,-26658.96259,TRUE,0,2
337,29,323,-244.8870743,499.2136546,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",578000,375000,2483,0.524,0.587,50000,50000,40.614067,-73.90316,1.5,2,"""""",97,126,3.00E+08,0,1,1,TRUE,{turtles 801 990 3191 3576 5803 1065 4113 4016 2838 5249},0,FALSE,FALSE,-776918.1493,TRUE,0,2
338,39,324,-692.5718581,210.1105041,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",646000,484000,2500,0.314,0.449,50000,50000,40.589618,-73.94102,2.8,2,"""""",46,75,3.23E+08,0,1,1,TRUE,{turtles 3783 2465 4487 4948 1037 1882 29 3230 2012 4987},0,FALSE,FALSE,-720916.3659,TRUE,0,2
339,29,324,-571.7939293,446.297928,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",521000,371000,2000,0,0.209,0,43001,40.609592,-73.930806,4.1,2,"""""",0,23,2.81E+08,0,1,1,TRUE,{turtles 3288 3763 2154 5416 5019 5310 1809 5804 1426 4207},0,FALSE,FALSE,-823860.8207,TRUE,0,2
340,49,7,-670.6251344,79.24606925,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",933000,667000,2500,0.586,0.672,50000,50000,40.578551,-73.939164,2.3,1,"""""",65,94,4.21E+08,0,1,1,TRUE,{turtles 3563 5604 912 2737 3846 4019 4928 4412 5719 1403},0,FALSE,FALSE,-484555.8976,TRUE,0,2
341,29,291,-915.3854973,99.79747321,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",400000,212000,1620,0.532,0.632,50000,50000,40.580289,-73.959863,2.7,1,"""""",50,78,2.39E+08,0,1,1,TRUE,{turtles 1927 5209 5272 5324 4913 5546 1464 5561 4538 3919},0,FALSE,FALSE,-923511.053,TRUE,0,2
342,29,314,-85.82062656,864.3735544,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",534000,366000,2000,0.488,0.557,50000,50000,40.644948,-73.889708,1.7,2,"""""",89,118,2.85E+08,0,1,1,TRUE,{turtles 1690 4426 3977 3957 1580 5791 2075 3418 3942 466},0,FALSE,FALSE,-813154.5974,TRUE,0,2
343,29,343,-559.0705055,681.1609807,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",450000,346000,1600,0,0,0,0,40.629454,-73.92973,6.2,2,"""""",0,0,2.56E+08,0,1,1,TRUE,{turtles 4681 3010 4874 5181 3252 3412 2172 5805 4963 3271},0,FALSE,FALSE,-882333.2711,TRUE,0,2
