Subsidy,OBJECTIVE
492000,3.77E+08
493000,3.76E+08
494000,3.75E+08
495000,3.75E+08
496000,3.74E+08
497000,3.74E+08
498000,3.73E+08
499000,3.72E+08
500000,3.71E+08
501000,3.71E+08
502000,3.70E+08
503000,3.69E+08
504000,3.69E+08
505000,3.68E+08
506000,3.67E+08
507000,3.66E+08
508000,3.66E+08
509000,3.65E+08
510000,3.64E+08
511000,3.63E+08
512000,3.63E+08
514000,3.61E+08
513000,3.62E+08
515000,3.60E+08
516000,3.60E+08
517000,3.59E+08
518000,3.58E+08
519000,3.57E+08
520000,3.56E+08
521000,3.56E+08
522000,3.55E+08
523000,3.55E+08
524000,3.54E+08
525000,3.53E+08
526000,3.52E+08
527000,3.52E+08
528000,3.51E+08
529000,3.50E+08
530000,3.50E+08
531000,3.49E+08
532000,3.49E+08
533000,3.48E+08
534000,3.47E+08
535000,3.47E+08
536000,3.46E+08
537000,3.46E+08
538000,3.45E+08
539000,3.45E+08
540000,3.45E+08
541000,3.44E+08
542000,3.45E+08
543000,3.44E+08
544000,3.44E+08
545000,3.43E+08
546000,3.43E+08
548000,3.42E+08
547000,3.42E+08
549000,3.42E+08
550000,3.41E+08
551000,3.41E+08
552000,3.40E+08
553000,3.41E+08
554000,3.40E+08
555000,3.40E+08
556000,3.39E+08
557000,3.39E+08
558000,3.39E+08
559000,3.39E+08
560000,3.38E+08
561000,3.38E+08
562000,3.37E+08
563000,3.37E+08
564000,3.37E+08
565000,3.36E+08
566000,3.36E+08
567000,3.36E+08
568000,3.35E+08
569000,3.35E+08
570000,3.35E+08
571000,3.35E+08
572000,3.35E+08
573000,3.35E+08
575000,3.35E+08
574000,3.35E+08
576000,3.34E+08
577000,3.34E+08
578000,3.34E+08
579000,3.33E+08
580000,3.33E+08
581000,3.33E+08
582000,3.34E+08
583000,3.34E+08
584000,3.34E+08
585000,3.33E+08
586000,3.33E+08
587000,3.33E+08
588000,3.33E+08
589000,3.33E+08
590000,3.33E+08
591000,3.33E+08
592000,3.34E+08
593000,3.34E+08
594000,3.34E+08
595000,3.34E+08
596000,3.34E+08
597000,3.34E+08
598000,3.34E+08
599000,3.34E+08
600000,3.34E+08
601000,3.34E+08
602000,3.34E+08
603000,3.34E+08
604000,3.34E+08
605000,3.35E+08
606000,3.35E+08
607000,3.35E+08
608000,3.35E+08
609000,3.35E+08
610000,3.35E+08
611000,3.35E+08
612000,3.35E+08
613000,3.35E+08
614000,3.35E+08
615000,3.36E+08
616000,3.36E+08
617000,3.41E+08
618000,3.41E+08
619000,3.42E+08
620000,3.42E+08
621000,3.43E+08
622000,3.45E+08
623000,3.46E+08
624000,3.48E+08
625000,3.49E+08
626000,3.50E+08
627000,3.50E+08
628000,3.50E+08
629000,3.51E+08
630000,3.55E+08
631000,3.55E+08
633000,3.57E+08
632000,3.56E+08
634000,3.58E+08
635000,3.60E+08
636000,3.62E+08
637000,3.73E+08
638000,3.75E+08
639000,3.75E+08
640000,3.78E+08
641000,3.79E+08
642000,3.82E+08
643000,3.84E+08
644000,3.86E+08
645000,3.87E+08
646000,3.89E+08
648000,3.93E+08
647000,3.93E+08
649000,3.93E+08
650000,3.96E+08
651000,4.09E+08
652000,4.09E+08
653000,4.11E+08
654000,4.11E+08
655000,4.13E+08
656000,4.16E+08
657000,4.17E+08
658000,4.18E+08
659000,4.18E+08
661000,4.21E+08
660000,4.19E+08
662000,4.21E+08
663000,4.27E+08
664000,4.32E+08
665000,4.43E+08
666000,4.49E+08
667000,4.52E+08
668000,4.57E+08
669000,4.58E+08
670000,4.59E+08
671000,4.62E+08
672000,4.65E+08
673000,4.74E+08
674000,4.77E+08
675000,4.79E+08
676000,4.80E+08
677000,4.82E+08
678000,4.90E+08
679000,4.91E+08
680000,4.94E+08
681000,4.97E+08
682000,5.03E+08
683000,5.08E+08
684000,5.09E+08
685000,5.16E+08
686000,5.17E+08
687000,5.18E+08
688000,5.18E+08
689000,5.19E+08
690000,5.19E+08
691000,5.19E+08
693000,5.19E+08
692000,5.19E+08
694000,5.19E+08
695000,5.20E+08
696000,5.20E+08
697000,5.20E+08
698000,5.20E+08
699000,5.20E+08
700000,5.20E+08
701000,5.20E+08
702000,5.20E+08
703000,5.21E+08
705000,5.21E+08
704000,5.21E+08
706000,5.22E+08
707000,5.22E+08
709000,5.22E+08
708000,5.22E+08
710000,5.23E+08
711000,5.23E+08
712000,5.23E+08
713000,5.23E+08
714000,5.23E+08
715000,5.24E+08
716000,5.24E+08
717000,5.24E+08
718000,5.24E+08
719000,5.25E+08
720000,5.25E+08
721000,5.25E+08
722000,5.25E+08
723000,5.26E+08
725000,5.26E+08
724000,5.26E+08
726000,5.26E+08
727000,5.26E+08
729000,5.27E+08
728000,5.26E+08
730000,5.27E+08
731000,5.27E+08
732000,5.27E+08
733000,5.27E+08
734000,5.28E+08
735000,5.28E+08
736000,5.28E+08
737000,5.28E+08
738000,5.29E+08
739000,5.29E+08
740000,5.29E+08
741000,5.29E+08
742000,5.30E+08
743000,5.30E+08
744000,5.31E+08
745000,5.31E+08
746000,5.31E+08
747000,5.31E+08
748000,5.32E+08
749000,5.32E+08
750000,5.32E+08
751000,5.33E+08
752000,5.33E+08
753000,5.33E+08
754000,5.33E+08
755000,5.34E+08
756000,5.34E+08
757000,5.34E+08
758000,5.34E+08
759000,5.35E+08
760000,5.35E+08
761000,5.35E+08
762000,5.36E+08
763000,5.36E+08
764000,5.36E+08
765000,5.37E+08
766000,5.37E+08
767000,5.37E+08
768000,5.38E+08
769000,5.38E+08
770000,5.38E+08
771000,5.39E+08
772000,5.39E+08
773000,5.39E+08
774000,5.39E+08
775000,5.39E+08
776000,5.40E+08
778000,5.40E+08
777000,5.40E+08
779000,5.41E+08
780000,5.41E+08
781000,5.41E+08
782000,5.42E+08
783000,5.42E+08
784000,5.43E+08
785000,5.43E+08
