[run number],Subsidy,Moving_Cost_Multiplier,[step],OBJECTIVE,,,,,,
163,630000,2,101,6.29E+09,,,,,,
164,640000,2,101,6.39E+09,,,,,,
165,650000,2,101,6.50E+09,,,,,,
166,660000,2,101,6.60E+09,,,,,,
167,670000,2,101,6.70E+09,,,,,,
168,680000,2,101,6.80E+09,,,,,,
169,690000,2,101,6.90E+09,,,,,,
170,700000,2,101,7.00E+09,,,,,,
171,710000,2,101,7.10E+09,,,,,,
172,720000,2,101,7.20E+09,,,,,,
173,730000,2,101,7.30E+09,,,,,,
174,740000,2,101,7.40E+09,,,,,,
175,750000,2,101,7.50E+09,,,,,,
176,760000,2,101,7.60E+09,,,,,,
177,770000,2,101,7.70E+09,,,,,,
178,780000,2,101,7.80E+09,,,,,,
179,790000,2,101,7.90E+09,,,,,,
180,800000,2,101,8.00E+09,,,,,,
181,810000,2,101,8.10E+09,,,,,,
182,820000,2,101,8.20E+09,,,,,,
183,830000,2,101,8.30E+09,,,,,,
184,840000,2,101,8.40E+09,,,,,,
185,850000,2,101,8.51E+09,,,,,,
186,860000,2,101,8.61E+09,,,,,,
187,870000,2,101,8.71E+09,,,,,,
188,880000,2,101,8.81E+09,,,,,,
189,890000,2,101,8.91E+09,,,,,,
190,900000,2,101,9.01E+09,,,,,,
191,910000,2,101,9.11E+09,,,,,,
192,920000,2,101,9.21E+09,,,,,,
193,930000,2,101,9.31E+09,,,,,,
194,940000,2,101,9.41E+09,,,,,,
195,950000,2,101,9.51E+09,,,,,,
196,960000,2,101,9.61E+09,,,,,,
197,970000,2,101,9.71E+09,,,,,,
198,980000,2,101,9.81E+09,,,,,,
199,990000,2,101,9.91E+09,,,,,,
200,1000000,2,101,1.00E+10,,,,,,
201,10000,3,101,9.26E+08,,,,,,
202,20000,3,101,9.71E+08,,,,,,
203,30000,3,101,1.02E+09,,,,,,
204,40000,3,101,1.08E+09,,,,,,
205,50000,3,101,1.14E+09,,,,,,
206,60000,3,101,1.20E+09,,,,,,
207,70000,3,101,1.26E+09,,,,,,
208,80000,3,101,1.33E+09,,,,,,
209,90000,3,101,1.39E+09,,,,,,
210,100000,3,101,1.46E+09,,,,,,
211,110000,3,101,1.52E+09,,,,,,
212,120000,3,101,1.59E+09,,,,,,
213,130000,3,101,1.66E+09,,,,,,
214,140000,3,101,1.73E+09,,,,,,
215,150000,3,101,1.80E+09,,,,,,
216,160000,3,101,1.87E+09,,,,,,
217,170000,3,101,1.95E+09,,,,,,
218,180000,3,101,2.02E+09,,,,,,
219,190000,3,101,2.10E+09,,,,,,
220,200000,3,101,2.18E+09,,,,,,
221,210000,3,101,2.26E+09,,,,,,
222,220000,3,101,2.34E+09,,,,,,
223,230000,3,101,2.42E+09,,,,,,
224,240000,3,101,2.50E+09,,,,,,
225,250000,3,101,2.59E+09,,,,,,
226,260000,3,101,2.67E+09,,,,,,
227,270000,3,101,2.76E+09,,,,,,
228,280000,3,101,2.85E+09,,,,,,
229,290000,3,101,2.93E+09,,,,,,
230,300000,3,101,3.02E+09,,,,,,
231,310000,3,101,3.11E+09,,,,,,
232,320000,3,101,3.20E+09,,,,,,
233,330000,3,101,3.29E+09,,,,,,
234,340000,3,101,3.38E+09,,,,,,
235,350000,3,101,3.47E+09,,,,,,
236,360000,3,101,3.57E+09,,,,,,
237,370000,3,101,3.66E+09,,,,,,
238,380000,3,101,3.75E+09,,,,,,
239,390000,3,101,3.84E+09,,,,,,
240,400000,3,101,3.94E+09,,,,,,
241,410000,3,101,4.03E+09,,,,,,
242,420000,3,101,4.13E+09,,,,,,
243,430000,3,101,4.22E+09,,,,,,
244,440000,3,101,4.32E+09,,,,,,
245,450000,3,101,4.41E+09,,,,,,
246,460000,3,101,4.51E+09,,,,,,
247,470000,3,101,4.61E+09,,,,,,
248,480000,3,101,4.70E+09,,,,,,
249,490000,3,101,4.80E+09,,,,,,
250,500000,3,101,4.90E+09,,,,,,
251,510000,3,101,5.00E+09,,,,,,
252,520000,3,101,5.09E+09,,,,,,
253,530000,3,101,5.19E+09,,,,,,
254,540000,3,101,5.29E+09,,,,,,
255,550000,3,101,5.39E+09,,,,,,
256,560000,3,101,5.49E+09,,,,,,
257,570000,3,101,5.59E+09,,,,,,
258,580000,3,101,5.69E+09,,,,,,
259,590000,3,101,5.79E+09,,,,,,
260,600000,3,101,5.89E+09,,,,,,
261,610000,3,101,5.99E+09,,,,,,
262,620000,3,101,6.09E+09,,,,,,
263,630000,3,101,6.19E+09,,,,,,
264,640000,3,101,6.29E+09,,,,,,
265,650000,3,101,6.39E+09,,,,,,
266,660000,3,101,6.49E+09,,,,,,
267,670000,3,101,6.59E+09,,,,,,
268,680000,3,101,6.69E+09,,,,,,
269,690000,3,101,6.80E+09,,,,,,
270,700000,3,101,6.90E+09,,,,,,
271,710000,3,101,7.00E+09,,,,,,
272,720000,3,101,7.10E+09,,,,,,
273,730000,3,101,7.20E+09,,,,,,
274,740000,3,101,7.30E+09,,,,,,
275,750000,3,101,7.41E+09,,,,,,
276,760000,3,101,7.51E+09,,,,,,
277,770000,3,101,7.61E+09,,,,,,
278,780000,3,101,7.71E+09,,,,,,
279,790000,3,101,7.82E+09,,,,,,
280,800000,3,101,7.92E+09,,,,,,
281,810000,3,101,8.02E+09,,,,,,
282,820000,3,101,8.12E+09,,,,,,
283,830000,3,101,8.23E+09,,,,,,
284,840000,3,101,8.33E+09,,,,,,
285,850000,3,101,8.43E+09,,,,,,
286,860000,3,101,8.53E+09,,,,,,
287,870000,3,101,8.64E+09,,,,,,
288,880000,3,101,8.74E+09,,,,,,
289,890000,3,101,8.84E+09,,,,,,
290,900000,3,101,8.94E+09,,,,,,
291,910000,3,101,9.05E+09,,,,,,
292,920000,3,101,9.15E+09,,,,,,
293,930000,3,101,9.25E+09,,,,,,
294,940000,3,101,9.35E+09,,,,,,
295,950000,3,101,9.46E+09,,,,,,
296,960000,3,101,9.56E+09,,,,,,
297,970000,3,101,9.66E+09,,,,,,
298,980000,3,101,9.76E+09,,,,,,
299,990000,3,101,9.86E+09,,,,,,
300,1000000,3,101,9.97E+09,,,,,,
301,10000,4,101,1.65E+09,,,,,,
302,20000,4,101,1.69E+09,,,,,,
303,30000,4,101,1.73E+09,,,,,,
304,40000,4,101,1.77E+09,,,,,,
305,50000,4,101,1.82E+09,,,,,,
306,60000,4,101,1.87E+09,,,,,,
307,70000,4,101,1.92E+09,,,,,,
308,80000,4,101,1.97E+09,,,,,,
309,90000,4,101,2.01E+09,,,,,,
310,100000,4,101,2.06E+09,,,,,,
