"BehaviorSpace results (NetLogo 6.1.1)"
"/Users/tikumporn/Desktop/GitHub/GameTheoryFloodReloc/Netlogo/ObjRun.nlogo"
"best_Subsidy"
"11/13/2019 18:24:38:192 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1000","0","0","1000"
"[run number]","Subsidy","Moving_Cost_Multiplier","[step]","OBJECTIVE"
"212","90000","7.2","101","5.874326071844451E9"
"213","100000","7.2","101","5.881305432281514E9"
"214","110000","7.2","101","5.87989357513959E9"
"215","120000","7.2","101","5.885019700210426E9"
"216","130000","7.2","101","5.893087092663447E9"
"218","150000","7.2","101","5.918048895987349E9"
"217","140000","7.2","101","5.898627202682236E9"
"219","160000","7.2","101","5.93406629698199E9"
"220","170000","7.2","101","5.951295837763133E9"
"222","190000","7.2","101","5.987071388882813E9"
"221","180000","7.2","101","5.971164368078408E9"
"223","200000","7.2","101","6.003133241825826E9"
"224","210000","7.2","101","6.019427288563818E9"
"225","220000","7.2","101","6.037532812719131E9"
"226","230000","7.2","101","6.058333353011618E9"
"227","240000","7.2","101","6.076812528774811E9"
"228","250000","7.2","101","6.099451614730463E9"
"230","270000","7.2","101","6.138972665874802E9"
"229","260000","7.2","101","6.117562036729446E9"
"231","280000","7.2","101","6.165324869589268E9"
"232","290000","7.2","101","6.188799110420587E9"
"233","300000","7.2","101","6.211162095597583E9"
"234","310000","7.2","101","6.236708911486503E9"
"235","320000","7.2","101","6.264871167038451E9"
"236","330000","7.2","101","6.2965971294948015E9"
"237","340000","7.2","101","6.325250467831915E9"
"238","350000","7.2","101","6.357515031094312E9"
"239","360000","7.2","101","6.391347971423079E9"
"240","370000","7.2","101","6.425813261484935E9"
"242","390000","7.2","101","6.498510013019099E9"
"241","380000","7.2","101","6.463295779249311E9"
"243","400000","7.2","101","6.537430232026593E9"
"244","410000","7.2","101","6.576050057110822E9"
"245","420000","7.2","101","6.617390720996687E9"
"246","430000","7.2","101","6.653633566666227E9"
"247","440000","7.2","101","6.696254970357777E9"
"248","450000","7.2","101","6.74141184455001E9"
"249","460000","7.2","101","6.783973779956965E9"
"250","470000","7.2","101","6.82536917227341E9"
"251","480000","7.2","101","6.867972529627228E9"
"252","490000","7.2","101","6.9120018842331505E9"
"253","500000","7.2","101","6.958247387732033E9"
"254","510000","7.2","101","7.002556938100783E9"
"255","520000","7.2","101","7.0513849091163845E9"
"256","530000","7.2","101","7.101808168175108E9"
"257","540000","7.2","101","7.154133142546608E9"
"258","550000","7.2","101","7.207671662809209E9"
"259","560000","7.2","101","7.258378101890397E9"
"260","570000","7.2","101","7.313347794389198E9"
"261","580000","7.2","101","7.363486433364462E9"
"262","590000","7.2","101","7.418306265998958E9"
"263","600000","7.2","101","7.472988587429537E9"
"264","610000","7.2","101","7.530413057307177E9"
"265","620000","7.2","101","7.588086535058133E9"
"266","630000","7.2","101","7.6445440801563E9"
"267","640000","7.2","101","7.703369575477224E9"
